Date,Phase,BA,BA mean,BA max,PA1,PA1 mean,PA1 max,PA2,PA2 mean,PA2 max,PB,PB mean,PB max,SE,SE mean,SE max,ES,ES mean,ES max,PR,PR mean,PR max,SC,SC mean,SC max
19/02/2019,FM,Yes,36,52,Yes,113.8,191,Yes,548.83,848,Yes,90.33,166,Yes,92.33,197,,,,Yes,10.67,15,,,
06/03/2019,NM,No,0,0,No,0.2,1,Yes,1.67,7,No,0,0,No,0,0,,,,,,,,,
20/03/2019,FM,Yes,27.12,51,No,0.7,1,Yes,91.67,190,Yes,4,24,Yes,114.67,162,,,,,,,,,
05/04/2019,NM,No,0.17,1,No,0,0,,,,No,0,0,No,0,0,,,,,,,,,
19/04/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2019,NM,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2019,FM,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2019,NM,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2020,FM,Yes,18.5,36,,,,Yes,319.67,473,Yes,,,,202.7,290,,,,,,,,,
24/01/2020,NM,No,0,0,No,0,0,Yes,3.5,5,No,,,,0,0,,,,,,,,,
09/02/2020,FM,Yes,92.83,146,Yes,91.4,102,Yes,420.83,682,Yes,,,,225.5,347,,,,,,,,,
23/02/2020,NM,No,0,0,No,0,0,No,1,3,No,,,,0,0,,,,,,,,,
09/03/2020,FM,Yes,56.67,78,,,,Yes,327.5,454,Yes,,,,,,,,,,,,,,
24/03/2020,NM,No,0,0,,,,,,,,,,,,,,,,,,,,,
07/04/2020,FM,Yes,5.33,11,,,,,,,Yes,,,,,,,,,,,,,,
22/04/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/11/2020,FM,,,,,,,,,,,,,,,,,,,,,,,,
14/12/2020,NM,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2020,FM,,,,,,,,,,,,,,,,,,,,,,,,
